Pixel,0.0A,0.7A,0.8A,0.9A,1.0A,1.1A,1.2A,1.3A,1.4A,1.5A,1.6A,1.7A,1.8A,1.9A
123,10.8397,12.2549,11.8973,14.0346,14.8501,18.3287,19.8189,22.2814,23.9642,28.2422,31.6586,32.3057,34.6309,35.4902
124,10.451,13.6332,14.2295,14.3725,15.3922,16.143,17.8293,20.0842,21.1684,25.4429,29.1096,31.1315,33.3449,33.6078
125,11.3137,12.4314,13.1142,12.7059,14.6113,15.5098,17.0784,19.8558,21.1269,24.3068,28.5617,30.481,33.8005,34.3887
126,11.2837,12.4268,13.4118,13.316,14.9815,16.7001,18.7947,21.5433,23.2065,24.8997,29.6563,30.8997,34.2157,35.3991
127,9.902,12.7451,14.9493,15.4198,18.1649,19.6805,22.3333,24.6413,26.2088,27.549,30.5363,33.1373,34.0715,35.4902
128,11.4314,13.2549,15.714,18.5767,21.8316,23.8178,26,28.5236,28.8754,30.451,32.0461,33.8627,34.346,34.5098
129,12.4014,19.1096,23.1003,25.4025,28.1511,30.6794,30.7739,33.4833,31.9077,32.6009,33.4671,33.2549,33.7543,32.8466
130,14.3426,31.9389,35.4452,34.8108,36.5236,37.1442,35.3599,36.9158,32.9389,32.6021,32.4452,30.1373,30.4775,28.098
131,17.2491,42.579,43.1003,40.8224,40.8674,39.579,36.985,35.8316,30.3276,29.5433,28.2941,25.2099,25.143,21.5606
132,29.0508,45.4406,45.323,40.9389,39.0208,35.5894,31.2872,29.7762,24.3368,24.6632,22.8466,20.4348,20.0738,18.1015
133,56.8328,46.4118,42.6551,38,33.4729,29.812,24.7474,22.8535,18.2238,18.218,17.1788,15.669,14.7336,13.5571
134,69.7036,44.8155,39.7301,35.293,30.0438,25.7693,22.3841,20.0842,15.7912,15.496,15.4245,14.3725,13.5098,12.902
135,72.3403,44.7878,40.0738,35.4406,30.534,25.6563,23.0634,20.0012,15.1465,14.5617,14.4637,13.436,12.6251,12.0565
136,61.6667,47,42.3333,39.3333,34.6667,30.6667,26,23.3333,17.6667,16,15,13.6667,12.3333,11.3333
137,48.0773,47.0657,44.917,42.5802,38.1684,35.9758,30.812,27.8397,22.3887,17.9492,17.2399,14.9412,14.2826,12.8627
138,28.1684,42.812,44.1176,43.3991,40.2076,38.6747,36.0634,33.8547,29.1938,23.9827,23.045,19.4498,18.5271,15.5652
139,14.9908,31.7624,35.9458,38.128,38.0969,38.812,37.7578,36.8005,34.173,31.2791,31.3368,27.1234,26.075,21.8005
140,12.0819,25.391,26.7082,30.045,33.3449,34.549,34.5963,34.7659,33.9308,32.9735,34.3103,31.1857,30.9031,26.7186
141,11.812,16.8501,18.8408,20.9527,23.8281,24.7912,27.2018,28.3691,29.158,31.466,33.2307,31.7935,32.5698,32.4221
142,12.4152,13.9181,14.549,16.0358,16.7047,18.3691,21.2999,22.5421,23.1038,28.1303,30.2122,31.4348,32.8627,35.2618
143,12.5882,13.7382,13.5063,14.549,15.5882,17,19.4025,20.3991,20.9158,26.1015,28.3956,31.2618,32.4671,34.3726
144,11.9077,14.0577,13.8166,14.5098,16.6021,17.1742,19.1511,20.1765,21.2757,24.6678,27.5294,31.2953,31.4648,32.2434
145,10.9273,13.1949,13.6009,14.4902,15.8962,17.6644,21.6805,23.8235,24.4717,25.4129,28.4706,31.7855,32.7001,34.4198
146,12.549,17.4452,17.7266,18.985,21.609,22.5825,25.1015,27.3333,27.3103,28.1338,29.7416,31.8985,31.7059,32.1499
147,12.6401,23.0877,23.7682,26.188,28.1903,29.3253,30.2491,31.0104,29.0727,29.8247,30.2687,30.9585,30.7785,29.8766
148,15.045,32.3945,33.421,34.6367,34.1303,34.4072,35.3956,33.5386,29.1557,28.7474,28.8258,27.8258,27.6321,26.481
149,28.7497,42.4441,40.9158,39.2053,37.5306,33.4521,33.4913,29.6286,26.4394,25.3691,25.6355,23.2353,20.376,18.9412
150,41.4983,42.5686,39.3472,35.5006,35.0496,29.8351,28.1672,25.6574,22.3633,22.0392,21.7301,18.9066,17.4452,16.3045
151,57.3737,40.6897,37.4798,33.5582,30.6886,25.1949,21.5606,20.6863,18.0346,17.5882,16.4971,14.872,13.9642,13.887
152,56.7982,42.1165,38.6644,35.5098,30.7924,26.1926,21.9146,21.1419,18.1892,17.3887,15.895,14.5963,13.1765,13.2272
153,47,43.6667,42,38,34,29.6667,26.6667,25,21.6667,18,17.6667,15.6667,12.6667,12.6667
154,24.3806,36.0727,37.0761,37.5467,36.0946,33.707,33.083,30.8408,28.105,23.3564,22.4717,20.5225,19.0911,17.5536
155,16.2734,29.0969,29.8351,33.0069,32.2434,31.8904,32.0934,31.8051,30.6551,27.9308,26.9746,25.8305,23.4764,21.0127
156,14.8489,22.9123,23.1845,26.2768,26.1845,27.0277,27.1315,29.0646,29.1153,29.5802,29.0738,29.0288,27.4602,24.9839
157,11.4867,15.2422,16.0508,18.6586,18.5513,20.0842,21.917,22.9319,24.5202,27.6609,28.8201,29.5652,31.6909,30.5063
